pop,rock,country,metal,hip hop,R&B,Dance/Electronic,Folk/Acoustic,easy listening,latin,blues,set(),World/Traditional,jazz,classical,year,popularity
1.0,,,,1.0,,,,,,,,,,,2003,76
1.0,,,,,,,,,,,,,,,2003,69
,1.0,,1.0,,,,,,,,,,,,2003,72
1.0,,,,1.0,,,,,,,,,,,2007,70
,,,1.0,,,,,,,,,,,,2003,79
1.0,,,,,1.0,,,,,,,,,,2003,57
1.0,,,,1.0,1.0,,,,,,,,,,2002,59
,1.0,,1.0,,,,,,,,,,,,2003,72
1.0,,,,1.0,,,,,,,,,,,2002,47
1.0,,,,1.0,1.0,,,,,,,,,,2003,62
1.0,,,,1.0,1.0,,,,1.0,,,,,,2003,73
1.0,,,,1.0,1.0,,,,,,,,,,2002,36
1.0,,,,,,,,,,,,,,,2003,59
1.0,,,,,,,,,,,,,,,2004,57
1.0,,,,,,,,,,,,,,,2003,54
1.0,,,,,,,,,,,,,,,2002,76
,1.0,,,,,,,,,1.0,,,,,2003,3
1.0,,,,1.0,,,,,,,,,,,2003,54
1.0,,,,,1.0,,,,,,,,,,2003,63
1.0,,,,1.0,1.0,,,,,,,,,,2019,47
1.0,,,,,,,,,,,,,,,2002,61
,1.0,,1.0,,,,,,,,,,,,2003,68
1.0,,,,,,,,,,,,,,,2003,48
1.0,,,,1.0,1.0,,,,,,,,,,2003,50
,1.0,,1.0,,,,,,,,,,,,2002,72
1.0,1.0,,,,1.0,,1.0,,,,,,,,2008,58
1.0,,,,,1.0,,,,,,,,,,2003,61
1.0,,,,,,1.0,,,,,,,,,2003,58
1.0,,,,1.0,1.0,,,,,,,,,,2016,52
,,,,,,1.0,,,,,,,,,2003,57
,,,,1.0,,,,,,,,,,,2009,49
,,,1.0,,,,,,,,,,,,2003,70
1.0,,,,,1.0,,,,,,,,,,2003,58
1.0,,,,1.0,,,,,,,,,,,2003,57
1.0,,,,1.0,,,,,,,,,,,2003,67
1.0,,,,1.0,1.0,,,,,,,,,,2003,69
,,,,1.0,,,,,,,,,,,2002,71
1.0,,,,1.0,1.0,,,,,,,,,,2003,48
1.0,,,,,1.0,,,,,,,,,,2003,48
1.0,,,,1.0,,,,,,,,,,,2003,72
1.0,,,,1.0,1.0,,,,,,,,,,2002,61
1.0,,,,1.0,1.0,,,,,,,,,,2002,57
1.0,,,,,,1.0,,,,,,,,,2003,60
1.0,,,,,,1.0,,,,,,,,,2003,59
1.0,,,,,,,,,,,,,,,2002,67
1.0,,,,1.0,1.0,,,,,,,,,,2003,49
1.0,,,,1.0,,,,,,,,,,,2005,67
1.0,,,,1.0,1.0,,,,,,,,,,2002,57
1.0,,,,1.0,1.0,,,,,,,,,,2003,59
,1.0,,,,,,,,,,,,,,2003,0
1.0,,,,,,1.0,,,,,,,,,2003,38
1.0,,,,1.0,,,,,,,,,,,2003,57
,,,,1.0,,,,,,,,,,,2002,58
1.0,1.0,,1.0,,,,,,,,,,,,2002,67
1.0,,,,1.0,1.0,,,,,,,,,,2002,60
1.0,,,,,,,,,,,,,,,2002,73
1.0,,,,,,,,,,,,,,,2003,57
1.0,1.0,,,,,,,,,,,,,,2003,60
1.0,,,,,1.0,,,,,,,,,,2003,48
,,,,1.0,,,,,,,,,,,2002,56
1.0,1.0,,,,,,,,,,,,,,2002,79
1.0,,,,1.0,1.0,,,,,,,,,,2002,54
1.0,,,,1.0,1.0,,,,,,,,,,2002,70
1.0,,,,1.0,1.0,,,,,,,,,,2003,65
1.0,,,,,,,,,,,,,,,2002,67
,1.0,,1.0,,,,,,,,,,,,2002,75
1.0,,,,1.0,,,,,,,,,,,2002,61
