,popularity,year,variable,value
664,68,2006,pop,1.0
665,67,2006,pop,1.0
666,48,2006,pop,1.0
667,64,2005,pop,1.0
668,62,2005,pop,1.0
672,63,2006,pop,1.0
673,75,2006,pop,1.0
674,35,2019,pop,1.0
677,42,2005,pop,1.0
678,67,2005,pop,1.0
680,67,2005,pop,1.0
681,63,2006,pop,1.0
682,0,2006,pop,1.0
683,59,2006,pop,1.0
684,46,2006,pop,1.0
685,0,2005,pop,1.0
686,64,2005,pop,1.0
687,2,2004,pop,1.0
688,67,2006,pop,1.0
689,64,2006,pop,1.0
690,35,2006,pop,1.0
691,79,2005,pop,1.0
692,61,2006,pop,1.0
694,59,2006,pop,1.0
695,65,2005,pop,1.0
696,49,2006,pop,1.0
697,69,2005,pop,1.0
698,0,2006,pop,1.0
700,75,2007,pop,1.0
701,81,2008,pop,1.0
702,79,2007,pop,1.0
703,76,2006,pop,1.0
704,0,2007,pop,1.0
705,78,2005,pop,1.0
706,70,2006,pop,1.0
707,71,2006,pop,1.0
708,80,2007,pop,1.0
709,81,2006,pop,1.0
712,65,2007,pop,1.0
713,58,2006,pop,1.0
714,70,2007,pop,1.0
715,67,2007,pop,1.0
716,0,2007,pop,1.0
717,0,2015,pop,1.0
718,68,2006,pop,1.0
720,64,2007,pop,1.0
721,59,2007,pop,1.0
722,53,2006,pop,1.0
723,74,2007,pop,1.0
724,59,2006,pop,1.0
725,0,2006,pop,1.0
726,69,2008,pop,1.0
727,62,2007,pop,1.0
731,60,2007,pop,1.0
732,68,2007,pop,1.0
733,61,2007,pop,1.0
735,66,2006,pop,1.0
736,59,2007,pop,1.0
737,62,2007,pop,1.0
739,64,2006,pop,1.0
741,72,2006,pop,1.0
742,64,2006,pop,1.0
745,57,2007,pop,1.0
746,66,2007,pop,1.0
747,75,2007,pop,1.0
748,74,2007,pop,1.0
749,45,2016,pop,1.0
750,48,2013,pop,1.0
751,70,2007,pop,1.0
753,3,2007,pop,1.0
754,59,2006,pop,1.0
755,63,2006,pop,1.0
756,57,2006,pop,1.0
757,57,2007,pop,1.0
760,57,2006,pop,1.0
763,58,2007,pop,1.0
764,56,2006,pop,1.0
765,45,2007,pop,1.0
767,36,2005,pop,1.0
768,62,2007,pop,1.0
770,72,2007,pop,1.0
771,30,2019,pop,1.0
772,52,2006,pop,1.0
774,61,2007,pop,1.0
776,46,2007,pop,1.0
777,57,2006,pop,1.0
778,0,2006,pop,1.0
779,74,2006,pop,1.0
780,69,2006,pop,1.0
781,66,2006,pop,1.0
782,78,2007,pop,1.0
783,52,2006,pop,1.0
784,68,2007,pop,1.0
785,76,2005,pop,1.0
787,2,2007,pop,1.0
788,61,2007,pop,1.0
789,68,2007,pop,1.0
790,57,2007,pop,1.0
791,57,2006,pop,1.0
792,53,2007,pop,1.0
795,62,2007,pop,1.0
796,58,2007,pop,1.0
797,64,2007,pop,1.0
799,51,2006,pop,1.0
800,80,2008,pop,1.0
801,73,2008,pop,1.0
802,74,2008,pop,1.0
803,77,2007,pop,1.0
804,74,2007,pop,1.0
805,71,2008,pop,1.0
806,70,2007,pop,1.0
807,66,2008,pop,1.0
808,75,2008,pop,1.0
809,70,2007,pop,1.0
810,65,2007,pop,1.0
811,76,2008,pop,1.0
813,61,2007,pop,1.0
814,69,2008,pop,1.0
815,63,2008,pop,1.0
817,71,2009,pop,1.0
818,73,2008,pop,1.0
819,77,2008,pop,1.0
820,56,2007,pop,1.0
821,69,2008,pop,1.0
822,76,2008,pop,1.0
823,65,2008,pop,1.0
824,34,2010,pop,1.0
825,69,2008,pop,1.0
826,57,2008,pop,1.0
827,72,2008,pop,1.0
828,46,2007,pop,1.0
829,74,2007,pop,1.0
830,64,2007,pop,1.0
831,75,2008,pop,1.0
832,65,2008,pop,1.0
833,69,2008,pop,1.0
834,61,2008,pop,1.0
835,0,2007,pop,1.0
836,65,2008,pop,1.0
837,68,2007,pop,1.0
839,51,2008,pop,1.0
840,68,2011,pop,1.0
843,66,2007,pop,1.0
844,64,2008,pop,1.0
845,65,2008,pop,1.0
846,62,2008,pop,1.0
847,78,2008,pop,1.0
852,60,2008,pop,1.0
853,57,2008,pop,1.0
854,76,2008,pop,1.0
856,54,2008,pop,1.0
857,1,2007,pop,1.0
858,56,2008,pop,1.0
859,47,2007,pop,1.0
860,0,2008,pop,1.0
862,55,2007,pop,1.0
863,58,2008,pop,1.0
865,62,2007,pop,1.0
867,71,2008,pop,1.0
868,53,2008,pop,1.0
870,51,2008,pop,1.0
871,61,2008,pop,1.0
872,70,2008,pop,1.0
873,62,2007,pop,1.0
874,67,2007,pop,1.0
875,74,2008,pop,1.0
876,62,2007,pop,1.0
877,59,2007,pop,1.0
878,63,2009,pop,1.0
879,64,2007,pop,1.0
880,56,2007,pop,1.0
881,80,2008,pop,1.0
884,69,2008,pop,1.0
885,67,2008,pop,1.0
886,58,2007,pop,1.0
887,51,2008,pop,1.0
888,54,2007,pop,1.0
889,63,2008,pop,1.0
890,1,2008,pop,1.0
891,60,2008,pop,1.0
892,55,2008,pop,1.0
893,68,2008,pop,1.0
894,64,2007,pop,1.0
895,74,2008,pop,1.0
896,1,2008,pop,1.0
897,67,2007,pop,1.0
898,58,2006,pop,1.0
899,0,2008,pop,1.0
900,80,2009,pop,1.0
901,77,2008,pop,1.0
902,74,2008,pop,1.0
903,75,2010,pop,1.0
904,74,2009,pop,1.0
905,74,2008,pop,1.0
906,63,2009,pop,1.0
907,74,2008,pop,1.0
908,69,2008,pop,1.0
909,75,2009,pop,1.0
910,57,2009,pop,1.0
911,72,2009,pop,1.0
914,76,2008,pop,1.0
915,69,2008,pop,1.0
916,59,2009,pop,1.0
917,66,2009,pop,1.0
918,48,2008,pop,1.0
919,65,2009,pop,1.0
920,68,2009,pop,1.0
921,68,2009,pop,1.0
922,70,2008,pop,1.0
924,65,2009,pop,1.0
925,67,2009,pop,1.0
926,63,2009,pop,1.0
928,66,2008,pop,1.0
930,80,2009,pop,1.0
931,75,2008,pop,1.0
933,38,2011,pop,1.0
934,58,2009,pop,1.0
935,64,2009,pop,1.0
936,59,2008,pop,1.0
938,3,2009,pop,1.0
939,41,2008,pop,1.0
940,69,2010,pop,1.0
941,65,2009,pop,1.0
942,76,2008,pop,1.0
944,46,2010,pop,1.0
945,59,2009,pop,1.0
946,54,2009,pop,1.0
947,0,2009,pop,1.0
948,70,2008,pop,1.0
950,64,2008,pop,1.0
951,65,2008,pop,1.0
952,57,2009,pop,1.0
953,51,2009,pop,1.0
954,73,2009,pop,1.0
955,63,2009,pop,1.0
957,58,2005,pop,1.0
958,59,2009,pop,1.0
959,70,2010,pop,1.0
960,54,2009,pop,1.0
961,68,2008,pop,1.0
962,71,2009,pop,1.0
963,77,2008,pop,1.0
964,65,2009,pop,1.0
966,71,2009,pop,1.0
968,55,2009,pop,1.0
969,71,2009,pop,1.0
970,65,2008,pop,1.0
971,59,2009,pop,1.0
974,70,2008,pop,1.0
975,74,2008,pop,1.0
976,60,2011,pop,1.0
977,67,2008,pop,1.0
978,64,2009,pop,1.0
979,62,2009,pop,1.0
980,74,2009,pop,1.0
981,39,2013,pop,1.0
983,67,2009,pop,1.0
984,53,2009,pop,1.0
986,54,2010,pop,1.0
987,56,2009,pop,1.0
988,79,2009,pop,1.0
989,57,2009,pop,1.0
990,64,2008,pop,1.0
992,57,2009,pop,1.0
993,55,2008,pop,1.0
995,62,2009,pop,1.0
996,49,2008,pop,1.0
997,68,2009,pop,1.0
998,68,2009,pop,1.0
999,73,2009,pop,1.0
1000,77,2010,pop,1.0
1002,80,2009,pop,1.0
1003,77,2010,pop,1.0
1004,80,2010,pop,1.0
1005,76,2010,pop,1.0
1006,80,2010,pop,1.0
1007,73,2010,pop,1.0
1008,72,2012,pop,1.0
1009,68,2010,pop,1.0
1010,42,2010,pop,1.0
1011,73,2010,pop,1.0
1012,62,2010,pop,1.0
1015,67,2009,pop,1.0
1016,69,2009,pop,1.0
1017,63,2010,pop,1.0
1018,66,2010,pop,1.0
1019,74,2010,pop,1.0
1020,61,2009,pop,1.0
1023,67,2009,pop,1.0
1024,74,2009,pop,1.0
1025,57,2010,pop,1.0
1026,32,2010,pop,1.0
1027,69,2010,pop,1.0
1028,59,2011,pop,1.0
1029,63,2010,pop,1.0
1030,68,2011,pop,1.0
1031,79,2010,pop,1.0
1032,75,2009,pop,1.0
1033,76,2010,pop,1.0
1034,74,2010,pop,1.0
1035,58,2010,pop,1.0
1036,57,2010,pop,1.0
1037,76,2010,pop,1.0
1038,0,2010,pop,1.0
1039,75,2010,pop,1.0
1040,69,2009,pop,1.0
1042,55,2009,pop,1.0
1043,53,2010,pop,1.0
1044,57,2009,pop,1.0
1045,0,2010,pop,1.0
1046,68,2009,pop,1.0
1047,63,2010,pop,1.0
1048,0,2010,pop,1.0
1049,73,2010,pop,1.0
1050,67,2010,pop,1.0
1051,3,2009,pop,1.0
1052,68,2010,pop,1.0
1053,62,2010,pop,1.0
1054,81,2010,pop,1.0
1055,66,2011,pop,1.0
1056,54,2010,pop,1.0
1058,63,2010,pop,1.0
1059,61,2010,pop,1.0
1060,51,2010,pop,1.0
1061,65,2010,pop,1.0
1063,74,2010,pop,1.0
1064,68,2010,pop,1.0
1065,73,2010,pop,1.0
1066,66,2010,pop,1.0
1067,35,2010,pop,1.0
1068,57,2010,pop,1.0
1069,54,2009,pop,1.0
1070,70,2010,pop,1.0
1071,57,2010,pop,1.0
1072,63,2010,pop,1.0
1074,61,2010,pop,1.0
1075,2,2009,pop,1.0
1076,60,2010,pop,1.0
1077,68,2010,pop,1.0
1078,18,2010,pop,1.0
1079,69,2010,pop,1.0
1080,54,2010,pop,1.0
1081,56,2010,pop,1.0
1082,66,2010,pop,1.0
1083,0,2010,pop,1.0
1085,71,2009,pop,1.0
1086,74,2010,pop,1.0
1087,69,2010,pop,1.0
1088,52,2017,pop,1.0
1089,72,2010,pop,1.0
1090,78,2009,pop,1.0
1091,71,2009,pop,1.0
1092,73,2010,pop,1.0
1093,65,2010,pop,1.0
1094,64,2010,pop,1.0
1095,51,2009,pop,1.0
1096,46,2011,pop,1.0
1097,0,2010,pop,1.0
1099,65,2010,pop,1.0
1100,2,2011,pop,1.0
1101,77,2010,pop,1.0
1102,73,2011,pop,1.0
1103,72,2010,pop,1.0
1104,78,2010,pop,1.0
1105,71,2011,pop,1.0
1106,0,2011,pop,1.0
1107,71,2010,pop,1.0
1108,79,2011,pop,1.0
1109,73,2010,pop,1.0
1110,69,2010,pop,1.0
1111,68,2011,pop,1.0
1112,61,2010,pop,1.0
1113,67,2010,pop,1.0
1114,42,2011,pop,1.0
1115,76,2010,pop,1.0
1116,72,2012,pop,1.0
1117,51,2011,pop,1.0
1118,81,2011,pop,1.0
1119,79,2011,pop,1.0
1120,75,2011,pop,1.0
1121,65,2012,pop,1.0
1122,66,2011,pop,1.0
1123,81,2011,pop,1.0
1124,66,2010,pop,1.0
1125,63,2010,pop,1.0
1126,72,2010,pop,1.0
1128,61,2011,pop,1.0
1129,67,2011,pop,1.0
1130,70,2011,pop,1.0
1131,57,2011,pop,1.0
1132,55,2012,pop,1.0
1133,76,2010,pop,1.0
1135,76,2011,pop,1.0
1136,65,2011,pop,1.0
1137,62,2012,pop,1.0
1138,63,2011,pop,1.0
1139,82,2011,pop,1.0
1140,74,2012,pop,1.0
1141,2,2011,pop,1.0
1143,1,2011,pop,1.0
1144,70,2011,pop,1.0
1145,71,2011,pop,1.0
1146,61,2010,pop,1.0
1147,77,2011,pop,1.0
1148,71,2010,pop,1.0
